start,end,PaymentsToAcquirePropertyPlantAndEquipment,filed
2007-02-01,2008-01-31,14937000000,2010-03-30
2008-02-01,2009-01-31,11499000000,2010-03-30
2009-02-01,2010-01-31,12184000000,2010-03-30
2010-02-01,2011-01-31,12699000000,2011-03-30
2011-02-01,2012-01-31,13510000000,2012-03-27
2012-02-01,2013-01-31,12898000000,2013-03-26
2013-02-01,2014-01-31,13115000000,2014-03-21
2014-02-01,2015-01-31,12174000000,2015-04-01
2015-02-01,2016-01-31,11477000000,2016-03-30
2016-02-01,2017-01-31,10619000000,2017-03-31
2017-02-01,2018-01-31,10051000000,2018-03-30
2018-02-01,2019-01-31,10344000000,2019-03-28
2019-02-01,2020-01-31,10705000000,2020-03-20
2020-02-01,2021-01-31,10264000000,2021-03-19
2021-02-01,2022-01-31,13106000000,2022-03-18
2022-02-01,2023-01-31,16857000000,2023-03-17
2023-02-01,2024-01-31,20606000000,2024-03-15
2024-02-01,2025-01-31,23783000000,2025-03-14
2025-02-01,2026-01-31,26642000000,2026-03-13
