end,Assets,filed,form
2009-01-31,163429000000,2010-03-30,10-K
2010-01-31,170706000000,2010-03-30,10-K
2011-01-31,180663000000,2011-03-30,10-K
2012-01-31,193406000000,2012-03-27,10-K
2013-01-31,203105000000,2013-03-26,10-K
2014-01-31,204751000000,2014-03-21,10-K
2015-01-31,203706000000,2015-04-01,10-K
2016-01-31,199581000000,2016-03-30,10-K
2017-01-31,198825000000,2017-03-31,10-K
2018-01-31,204522000000,2018-03-30,10-K
2019-01-31,219295000000,2019-03-28,10-K
2020-01-31,236495000000,2020-03-20,10-K
2021-01-31,252496000000,2021-03-19,10-K
2022-01-31,244860000000,2022-03-18,10-K
2023-01-31,243197000000,2023-03-17,10-K
2024-01-31,252399000000,2024-03-15,10-K
2025-01-31,260823000000,2025-03-14,10-K
2026-01-31,284668000000,2026-03-13,10-K
