start,end,EarningsPerShareDiluted,filed
2007-02-01,2008-01-31,3.13,2010-03-30
2008-02-01,2009-01-31,3.39,2010-03-30
2009-02-01,2010-01-31,3.7,2010-03-30
2010-02-01,2011-01-31,4.47,2011-03-30
2011-02-01,2012-01-31,4.52,2012-03-27
2012-02-01,2013-01-31,5.02,2013-03-26
2013-02-01,2014-01-31,4.88,2014-03-21
2014-02-01,2015-01-31,5.05,2015-04-01
2015-02-01,2016-01-31,4.57,2016-03-30
2016-02-01,2017-01-31,4.38,2017-03-31
2017-02-01,2018-01-31,3.28,2018-03-30
2018-02-01,2019-01-31,2.26,2019-03-28
2019-02-01,2020-01-31,5.19,2020-03-20
2020-02-01,2021-01-31,4.75,2021-03-19
2021-02-01,2022-01-31,4.87,2022-03-18
2022-02-01,2023-01-31,4.27,2023-03-17
2023-02-01,2024-01-31,1.91,2024-03-15
2024-02-01,2025-01-31,2.41,2025-03-14
2025-02-01,2026-01-31,2.73,2026-03-13
