start,end,NetIncomeLoss,filed
2007-02-01,2008-01-31,12731000000,2010-03-30
2008-02-01,2009-01-31,13400000000,2010-03-30
2009-02-01,2010-01-31,14335000000,2010-03-30
2010-02-01,2011-01-31,16389000000,2011-03-30
2011-02-01,2012-01-31,15699000000,2012-03-27
2012-02-01,2013-01-31,16999000000,2013-03-26
2013-02-01,2014-01-31,16022000000,2014-03-21
2014-02-01,2015-01-31,16363000000,2015-04-01
2015-02-01,2016-01-31,14694000000,2016-03-30
2016-02-01,2017-01-31,13643000000,2017-03-31
2017-02-01,2018-01-31,9862000000,2018-03-30
2018-02-01,2019-01-31,6670000000,2019-03-28
2019-02-01,2020-01-31,14881000000,2020-03-20
2020-02-01,2021-01-31,13510000000,2021-03-19
2021-02-01,2022-01-31,13673000000,2022-03-18
2022-02-01,2023-01-31,11680000000,2023-03-17
2023-02-01,2024-01-31,15511000000,2024-03-15
2024-02-01,2025-01-31,19436000000,2025-03-14
2025-02-01,2026-01-31,21893000000,2026-03-13
