end,StockholdersEquity,filed,form
2009-01-31,65285000000,2010-03-30,10-K
2010-01-31,70749000000,2010-03-30,10-K
2011-01-31,68542000000,2011-03-30,10-K
2012-01-31,71315000000,2012-03-27,10-K
2013-01-31,76343000000,2013-03-26,10-K
2014-01-31,76255000000,2014-03-21,10-K
2015-01-31,81394000000,2015-04-01,10-K
2016-01-31,80546000000,2016-03-30,10-K
2017-01-31,77798000000,2017-03-31,10-K
2018-01-31,77869000000,2018-03-30,10-K
2019-01-31,72496000000,2019-03-28,10-K
2020-01-31,74669000000,2020-03-20,10-K
2021-01-31,80925000000,2021-03-19,10-K
2022-01-31,83253000000,2022-03-18,10-K
2023-01-31,76693000000,2023-03-17,10-K
2024-01-31,83861000000,2024-03-15,10-K
2025-01-31,91013000000,2025-03-14,10-K
2026-01-31,99617000000,2026-03-13,10-K
