start,end,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,EarningsPerShareDiluted,Assets,StockholdersEquity,StoreCounts
01-02-2007,31-01-2008,3.77023E+11,12731000000,20642000000,14937000000,3.13,,,3488
01-02-2008,31-01-2009,4.04374E+11,13400000000,23147000000,11499000000,3.39,1.63429E+11,65285000000,3595
01-02-2009,31-01-2010,4.08214E+11,14335000000,26249000000,12184000000,3.7,1.70706E+11,70749000000,3703
01-02-2010,31-01-2011,4.21849E+11,16389000000,23643000000,12699000000,4.47,1.80663E+11,68542000000,3755
01-02-2011,31-01-2012,4.4695E+11,15699000000,24255000000,13510000000,4.52,1.93406E+11,71315000000,3804
01-02-2012,31-01-2013,4.69162E+11,16999000000,25591000000,12898000000,5.02,2.03105E+11,76343000000,3868
01-02-2013,31-01-2014,4.76294E+11,16022000000,23257000000,13115000000,4.88,2.04751E+11,76255000000,4005
01-02-2014,31-01-2015,4.85651E+11,16363000000,28564000000,12174000000,5.05,2.03706E+11,81394000000,4203
01-02-2015,31-01-2016,4.8213E+11,14694000000,27389000000,11477000000,4.57,1.99581E+11,80546000000,4516
01-02-2016,31-01-2017,4.85873E+11,13643000000,31530000000,10619000000,4.38,1.98825E+11,77798000000,4574
01-02-2017,31-01-2018,5.00343E+11,9862000000,28337000000,10051000000,3.28,2.04522E+11,77869000000,4672
01-02-2018,31-01-2019,5.14405E+11,6670000000,27753000000,10344000000,2.26,2.19295E+11,72496000000,4761
01-02-2019,31-01-2020,5.23964E+11,14881000000,25255000000,10705000000,5.19,2.36495E+11,74669000000,4769
01-02-2020,31-01-2021,5.59151E+11,13510000000,36074000000,10264000000,4.75,2.52496E+11,80925000000,4756
01-02-2021,31-01-2022,5.72754E+11,13673000000,24181000000,13106000000,4.87,2.4486E+11,83253000000,4743
01-02-2022,31-01-2023,6.11289E+11,11680000000,28841000000,16857000000,4.27,2.43197E+11,76693000000,4742
01-02-2023,31-01-2024,6.48125E+11,15511000000,35726000000,20606000000,1.91,2.52399E+11,83861000000,4717
01-02-2024,31-01-2025,6.80985E+11,19436000000,36443000000,23783000000,2.41,2.60823E+11,91013000000,4615
01-02-2025,31-01-2026,7.13163E+11,21893000000,41565000000,26642000000,2.73,2.84668E+11,99617000000,4605
