Fiscal_Year,Walmart_US,Walmart_International,Sams_Club,Total_Stores
2006,3289,2158,567,6014
2007,3488,2733,588,6809
2008,3595,3093,600,7288
2009,3703,3595,611,7909
2010,3755,4099,605,8459
2011,3804,4557,609,8970
2012,3868,5287,611,9766
2013,4005,5783,620,10408
2014,4203,6107,632,10942
2015,4516,6290,647,11453
2016,4574,6299,655,11528
2017,4672,6363,660,11695
2018,4761,6360,597,11718
2019,4769,5993,599,11361
2020,4756,6146,599,11501
2021,4743,6101,599,11443
2022,4742,5251,600,10593
2023,4717,5306,600,10623
2024,4615,5402,599,10616
2025,4605,5566,600,10771
2026,4611,5743,601,10955
